"source_transaction_id","coverage_code","limits","deductable","per_occurance","premium","created_date"
"471695896_256193462","10",300000,,100000,150.00,
"471695897_256193476","10",300000,,100000,150.00,
"471695898_256193493","17",1000000,,1000000,150.00,
"471695899_256193509","17",1000000,,1000000,150.00,
"471695936_256195213","05",300000,,100000,150.00,
"471695955_0","10",3000000,,1000000,182.00,
"471696140_256194238","17",1000000,,1000000,150.00,
"471696557_0","10",1000000,,1000000,150.00,
"471752911_256196460","17",1000000,,1000000,150.00,
"471752919_256196541","17",1000000,,1000000,150.00,
"471757474_256197429","10",2000000,,1000000,170.00,
"471757484_0","17",1000000,,1000000,150.00,
"471757485_0","17",1000000,,1000000,150.00,
"471757486_256197446","17",1000000,,1000000,150.00,
"471757487_256197463","17",3000000,,1000000,182.00,
"471757488_256197477","10",2000000,,1000000,170.00,
"471757570_256197673","10",300000,,100000,150.00,
"471757578_256197740","17",1000000,,1000000,150.00,
"471757580_256197768","17",1000000,,1000000,150.00,
"471758948_256198449","17",300000,,100000,150.00,
"471758995_256198600","17",1000000,,1000000,150.00,
"471758996_256198614","17",1000000,,1000000,150.00,
"471758999_256198631","17",1000000,,1000000,150.00,
"471759001_256198645","17",1000000,,1000000,150.00,
"471759005_0","17",1000000,,1000000,150.00,
"471759079_256198984","17",2000000,,1000000,170.00,
"471767649_0","17",1000000,,1000000,150.00,
"471767654_0","17",300000,,100000,150.00,
"471797840_256202788","10",1000000,,1000000,150.00,
"471831663_256204959","17",1000000,,1000000,150.00,
"471831664_256204962","17",1000000,,1000000,150.00,
"471831665_256204976","17",1000000,,1000000,150.00,
"471831674_256205030","17",300000,,100000,150.00,
"471858016_256207179","17",1000000,,1000000,150.00,
"471858017_256207182","10",1000000,,1000000,150.00,
"471858047_256207439","17",2000000,,1000000,170.00,
"471858072_256207487","17",1000000,,1000000,150.00,
"471858077_256207490","10",2000000,,1000000,170.00,
"471858133_0","17",300000,,100000,150.00,
"471858137_256208154","10",1000000,,1000000,150.00,
"471858177_256208493","17",1000000,,1000000,150.00,
"471858188_256208574","10",2000000,,1000000,170.00,
"471858311_256208817","17",1000000,,1000000,150.00,
"471858313_256208705","10",1000000,,1000000,150.00,
"471858315_256208719","10",1000000,,1000000,150.00,
"471858316_256208767","10",1000000,,1000000,150.00,
"471858317_256208798","10",300000,,100000,150.00,
"471862024_256208588","10",1000000,,1000000,150.00,
"471862027_0","10",1000000,,1000000,150.00,
"471864629_256208770","10",1000000,,1000000,150.00,
"471864651_256209045","10",1000000,,1000000,150.00,
"471864653_256209062","10",1000000,,1000000,150.00,
"471875127_256211491","17",300000,,100000,150.00,
"471875134_256211197","17",1000000,,1000000,150.00,
"471875139_256210146","17",1000000,,1000000,150.00,
"471875140_256211510","17",1000000,,1000000,150.00,
"471881067_256213015","17",300000,,100000,150.00,
"471881071_256211507","17",1000000,,1000000,150.00,
"471883056_256211863","17",1000000,,1000000,150.00,
"471883082_256211975","17",1000000,,1000000,150.00,
"471884385_0","17",1000000,,1000000,150.00,
"471985872_256212897","17",300000,,100000,150.00,
"471985873_256212916","17",300000,,100000,150.00,
"471985881_256239226","17",300000,,100000,150.00,
"471985895_0","10",1000000,,1000000,150.00,
"471985918_256223656","10",1000000,,1000000,150.00,
"471990466_256217355","10",1000000,,1000000,150.00,
"471990470_0","10",300000,,100000,150.00,
"471990585_256215525","13",5000000,,2000000,300.00,
"471990842_0","10",1000000,,1000000,150.00,
"471995879_256220840","17",300000,,100000,150.00,
"471995880_256220921","17",300000,,100000,150.00,
"471995882_256220949","10",1000000,,1000000,150.00,
"471995884_256220997","17",1000000,,1000000,150.00,
"471995886_256220966","10",1000000,,1000000,150.00,
"471995888_256220871","17",300000,,100000,150.00,
"471995890_256220904","10",300000,,100000,150.00,
"471995891_256220918","17",300000,,100000,150.00,
"472001116_256222023","17",1000000,,1000000,150.00,
"472001118_256222037","17",1000000,,1000000,150.00,
"472005156_256223009","17",300000,,100000,150.00,
"472005159_256222989","17",1000000,,1000000,150.00,
"472005866_256223639","10",1000000,,1000000,150.00,
"472008591_256225083","17",300000,,100000,150.00,
"472008593_256225102","17",300000,,100000,150.00,
"472008595_0","17",500000,,100000,150.00,
"472008598_256225147","17",300000,,100000,150.00,
"472009373_256230994","17",3000000,,1000000,182.00,
"472009390_0","17",3000000,,1000000,182.00,
"472009453_0","10",300000,,100000,150.00,
"472009461_0","10",1000000,,1000000,150.00,
"472009760_256233636","17",300000,,100000,150.00,
"472009761_256233653","17",300000,,100000,150.00,
"472009781_256233832","17",300000,,100000,150.00,
"472010131_256236312","17",3000000,,1000000,182.00,
"472010846_0","17",3000000,,1000000,182.00,
"472011057_0","17",1000000,,1000000,150.00,
"472011138_0","17",300000,,100000,150.00,
"472011140_0","17",1000000,,1000000,150.00,
"472011144_0","17",300000,,100000,150.00,
"472011145_0","17",300000,,100000,150.00,
"472011146_0","10",1000000,,1000000,150.00,
"472011147_0","10",1000000,,1000000,150.00,
"472011153_0","10",1000000,,1000000,150.00,
"472011154_0","10",1000000,,1000000,150.00,
"472011156_0","17",1000000,,1000000,150.00,
"472011235_0","17",3000000,,1000000,182.00,
"472011236_0","17",300000,,100000,150.00,
"472011238_256239422","17",300000,,100000,150.00,
"472011239_0","17",300000,,100000,150.00,
"472011240_0","17",300000,,100000,150.00,
"472011241_256239436","17",300000,,100000,150.00,
"472011242_256239307","17",300000,,100000,150.00,
"472011248_256239291","17",300000,,100000,150.00,
"472011250_256239324","17",300000,,100000,150.00,
"472011251_256239338","17",300000,,100000,150.00,
"472011254_256239369","17",300000,,100000,150.00,
"472011255_256239386","17",300000,,100000,150.00,
"472011256_0","17",300000,,100000,150.00,
"472011257_256239405","17",300000,,100000,150.00,
"472011262_256239467","17",300000,,100000,150.00,
"472011263_256239470","17",300000,,100000,150.00,
"472011438_0","17",300000,,100000,150.00,
"472011440_0","17",300000,,100000,150.00,
"472011443_256240070","17",300000,,100000,150.00,
"472011444_256240084","17",300000,,100000,150.00,
"472011445_256240098","17",300000,,100000,150.00,
